Date, Close/Last, Volume, Open, High, Low
09/28/2018, $228.25, 1265806, $224.49, $229.92, $224.37
09/27/2018, $225.56, 1429820, $221.37, $225.75, $218.29
09/26/2018, $221.62, 928980, $217.45, $223.33, $216.5
09/25/2018, $215.55, 627164, $211.54, $216.66, $210.24
09/24/2018, $210.03, 673997, $209.53, $213.16, $208.1
09/21/2018, $214.75, 1349182, $219.01, $219.28, $214.15
09/20/2018, $213.19, 1384721, $206.2, $216.89, $203.69
09/19/2018, $204.7, 961814, $199.01, $206.5, $198.77
09/18/2018, $199.01, 899110, $198.26, $202.61, $197.63
09/17/2018, $198.37, 1010874, $197.84, $201.4542, $195.95
09/14/2018, $201.93, 866453, $202, $203.05, $200.442
09/13/2018, $201.76, 1384028, $195.23, $202.45, $194.72
09/12/2018, $191.59, 934208, $188, $193.55, $184.93
09/11/2018, $188.79, 630036, $185.67, $189.66, $184.6
09/10/2018, $188.39, 903834, $191, $192, $187.68
09/07/2018, $193.35, 635836, $189.54, $196.47, $189.18
09/06/2018, $191.19, 833398, $189.25, $194.46, $189.25
09/05/2018, $189.75, 1268095, $192.01, $193.2289, $188.72
09/04/2018, $197.27, 1227568, $196.49, $199.15, $190.01
08/31/2018, $197.71, 1696759, $190.55, $199.05, $188.88
08/30/2018, $194.39, 2683908, $206.5, $206.59, $191.8182
08/29/2018, $209.46, 727619, $210.93, $211.38, $207.21
08/28/2018, $211.57, 504696, $213.51, $214.81, $208.625
08/27/2018, $211.78, 883730, $210.23, $213.125, $209.2
08/24/2018, $207.49, 581965, $207.06, $208.469, $203.85
08/23/2018, $205.75, 608931, $211.28, $213.17, $205.61
08/22/2018, $211.58, 493441, $210.68, $213.2, $208.7
